"person","abstract"
"http://dbpedia.org/resource/Alban_Préaubert","Alban Préaubert (born 20 September 1985) is a French former competitive figure skater. He won six ISU Grand Prix medals and five French national bronze medals (2006, 2008–11)."
"http://dbpedia.org/resource/Alban_Préaubert","Alban Préaubert (né le 20 septembre 1985 à Grenoble) est un patineur artistique français. Il est cinq fois médaillé de bronze aux championnats de France (2006, 2008, 2009, 2010, 2011)."
