"person","property","value"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Thing"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://xmlns.com/foaf/0.1/Person"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Person"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q215627"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q24229398"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q36180"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q5"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Agent"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Writer"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Person"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://umbel.org/umbel/rc/Artist"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://umbel.org/umbel/rc/Writer"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/WikicatFellowsOfTheAmericanAcademyOfArtsAndSciences"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/WikicatFrench–EnglishTranslators"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/WikicatHarvardUniversityAlumni"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/WikicatJewishAmericanNovelists"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/WikicatJewishNovelists"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/WikicatJewishPoets"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/WikicatJewishWriters"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Absentee109757653"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Alumnus109786338"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Associate109816771"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/CausalAgent100007347"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Colleague109935990"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Communicator109610660"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Creator109614315"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Essayist110064405"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Exile110071332"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/FilmDirector110088200"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/FilmMaker110088390"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Intellectual109621545"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Linguist110264219"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/LivingThing100004258"
"http://dbpedia.org/resource/Paul_Auster","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Novelist110363573"
