LastName;FirstName;BookTitle;PagesNb;Isbn;PublisherName;
Wouk;Herman;City Boy: The Adventures of Herbie Bookbinder;317;ISBN 0-316-95511-6 (1992 Paperback edition);Simon & Schuster;
Wouk;Herman;The Winds of War;885;ISBN 0-00-221941-7 (first edition, hardback);Little, Brown and Company;
Wouk;Herman;The Lawgiver;240;978-1451699388;Simon & Schuster;
Wrede;Patricia C.;Book of Enchantments;234;0-15-201255-9;Harcourt (publisher);
Wright;Austin Tappan;Islandia (novel);1014;1585671487;Farrar & Rinehart;
Wright;John C.;Orphans of Chaos;320;ISBN 0-7653-1131-3 (First edition);Tor Books;
Wright;John C.;Last Guardian of Everness;332;0-312-84871-4;Tor Books;
Wright;Richard Nathaniel;Black Boy;419;0-06-113024-9;Harper (publisher);
Yamanaka;Lois-Ann;Blu's Hanging;262;0-380-73139-8;Harper Perennial;
Yates;Richard;The Easter Parade;229;0-385-28236-2;Dell Publishing;
Yep;Laurence;Dragon Steel;276;0-06-026748-8;Harper (publisher);
Yep;Laurence;Dragon's Gate (novel);352;0-06-440489-7;HarperCollins;
Yep;Laurence;Dragon War;313;0-06-020302-1;HarperCollins;
